"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2176","should open the luxury jewelry page after clicking the button","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
"","47","should show the banner title","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
"","2874","should open the luxury jewelry page after clicking the button","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
"","2985","should click on the button and show a new url","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
"","77","should show the banner container","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
"","2320","should search for a product and verify the results","Ebay product search","2026-08-12","passed","2026-08-12","","Search results","",""
"","52","should show the banner title","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
"","65","should contain a link on the banner and be clickable","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
"","2259","should click on the button and show a new url","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
"","302","should update the laptop category","Ebay product search","2026-08-12","passed","2026-08-12","","Search results","",""
"","9537","should update the jewelry category","Ebay product search","2026-08-12","passed","2026-08-12","","Search results","",""
"","969","should redirect to the search results page and verify the title","Ebay product search","2026-08-12","passed","2026-08-12","","Search results","",""
"","1052","should veryfy jewelry category list","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
"","64","should show the banner container","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
"","158","should contain a link on the banner and be clickable","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
"","483","should search for a product and verify the results","Ebay product search","2026-08-12","passed","2026-08-12","","Search results","",""
"","9526","should update the jewelry category","Ebay product search","2026-08-12","passed","2026-08-12","","Search results","",""
"","436","should open ebay.com and verify the title","Ebay product search","2026-08-12","passed","2026-08-12","","","",""
"","246","should open ebay.com and verify the title","Ebay product search","2026-08-12","passed","2026-08-12","","","",""
"","768","should update the laptop category","Ebay product search","2026-08-12","passed","2026-08-12","","Search results","",""
"","14","should redirect to the search results page and verify the title","Ebay product search","2026-08-12","passed","2026-08-12","","Search results","",""
"","78","should contain link on the banner and verify it is clickable","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
"","1052","should veryfy jewelry category list","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
"","170","should contain link on the banner and verify it is clickable","Jewelry Page","2026-08-12","passed","2026-08-12","","","",""
